ID,Title,X,Y
Q3868860,My Little Pony: A Very Pony Place,-4.0960693359375,-25.74256134033203
Q3868861,My Little Pony Crystal Princess: The Runaway Rainbow,13.14547348022461,-89.12112426757812
Q18152892,New Year's Day,14.743514060974121,-77.11296844482422
Q2795608,The Proud and the Damned,65.18910217285156,7.724416732788086
Q2036469,The Challenge,-73.28617095947266,-6.7739691734313965
Q1433571,Tremors 2: Aftershocks,31.813255310058594,61.30311965942383
Q7748432,The Lord Protector: The Riddle of the Chosen,-62.557804107666016,-72.85481262207031
Q853425,I'll Do Anything,62.484500885009766,22.478260040283203
Q3109639,God's Country,-42.197425842285156,-7.220229625701904
Q780009,Sexual Life,4.011560916900635,-6.829146862030029
Q912451,In Love and War,76.54086303710938,34.02548599243164
Q6651012,Little Mo,16.721527099609375,-32.322364807128906
